,State,County,Temperature,Precipitation,Avg Condition,Target,Nitrogen,Phosphorus,Potasium,pH,Humidity
0,Alabama,Autauga County,18,375.25,196.625,rice,97.0,59.0,43.0,84.0,6.3
1,Alabama,Baldwin County,19,475.0,247.0,,,,,,
2,Alabama,Barbour County,18,373.5,195.75,rice,97.0,59.0,43.0,84.0,6.3
3,Alabama,Bibb County,17,402.5,209.75,rice,97.0,59.0,43.0,84.0,6.3
4,Alabama,Blount County,16,451.5,233.75,,,,,,
5,Alabama,Bullock County,18,367.0,192.5,rice,97.0,59.0,43.0,84.0,6.3
6,Alabama,Butler County,19,396.25,207.625,rice,97.0,59.0,43.0,84.0,6.3
7,Alabama,Calhoun County,17,359.5,188.25,rice,97.0,59.0,43.0,84.0,6.3
8,Alabama,Chambers County,17,374.75,195.875,rice,97.0,59.0,43.0,84.0,6.3
9,Alabama,Cherokee County,16,421.0,218.5,rice,97.0,59.0,43.0,84.0,6.3
10,Alabama,Chilton County,17,379.75,198.375,rice,97.0,59.0,43.0,84.0,6.3
11,Alabama,Choctaw County,18,438.25,228.125,,,,,,
12,Alabama,Clarke County,19,436.25,227.625,,,,,,
13,Alabama,Clay County,16,377.75,196.875,rice,97.0,59.0,43.0,84.0,6.3
14,Alabama,Cleburne County,16,371.5,193.75,rice,97.0,59.0,43.0,84.0,6.3
15,Alabama,Coffee County,19,397.0,208.0,rice,97.0,59.0,43.0,84.0,6.3
16,Alabama,Colbert County,16,428.5,222.25,rice,97.0,59.0,43.0,84.0,6.3
17,Alabama,Conecuh County,19,457.25,238.125,,,,,,
18,Alabama,Coosa County,17,391.25,204.125,rice,97.0,59.0,43.0,84.0,6.3
19,Alabama,Covington County,19,434.25,226.625,,,,,,
20,Alabama,Crenshaw County,18,387.25,202.625,rice,97.0,59.0,43.0,84.0,6.3
21,Alabama,Cullman County,16,454.75,235.375,,,,,,
22,Alabama,Dale County,19,395.5,207.25,rice,97.0,59.0,43.0,84.0,6.3
23,Alabama,Dallas County,18,353.75,185.875,rice,97.0,59.0,43.0,84.0,6.3
24,Alabama,DeKalb County,15,453.5,234.25,,,,,,
25,Alabama,Elmore County,18,387.25,202.625,rice,97.0,59.0,43.0,84.0,6.3
26,Alabama,Escambia County,19,479.5,249.25,,,,,,
27,Alabama,Etowah County,16,419.75,217.875,rice,97.0,59.0,43.0,84.0,6.3
28,Alabama,Fayette County,17,453.5,235.25,,,,,,
29,Alabama,Franklin County,16,442.0,229.0,,,,,,
30,Alabama,Geneva County,19,433.0,226.0,,,,,,
31,Alabama,Greene County,17,403.25,210.125,rice,97.0,59.0,43.0,84.0,6.3
32,Alabama,Hale County,17,379.0,198.0,rice,97.0,59.0,43.0,84.0,6.3
33,Alabama,Henry County,19,402.0,210.5,rice,97.0,59.0,43.0,84.0,6.3
34,Alabama,Houston County,19,432.5,225.75,,,,,,
35,Alabama,Jackson County,15,433.0,224.0,,,,,,
36,Alabama,Jefferson County,17,436.25,226.625,,,,,,
37,Alabama,Lamar County,17,450.75,233.875,,,,,,
38,Alabama,Lauderdale County,16,430.5,223.25,rice,97.0,59.0,43.0,84.0,6.3
39,Alabama,Lawrence County,16,428.0,222.0,rice,97.0,59.0,43.0,84.0,6.3
40,Alabama,Lee County,17,397.0,207.0,rice,97.0,59.0,43.0,84.0,6.3
41,Alabama,Limestone County,16,426.75,221.375,rice,97.0,59.0,43.0,84.0,6.3
42,Alabama,Lowndes County,19,362.0,190.5,rice,97.0,59.0,43.0,84.0,6.3
43,Alabama,Macon County,18,374.75,196.375,rice,97.0,59.0,43.0,84.0,6.3
44,Alabama,Madison County,16,436.25,226.125,,,,,,
45,Alabama,Marengo County,18,362.0,190.0,rice,97.0,59.0,43.0,84.0,6.3
46,Alabama,Marion County,16,462.25,239.125,,,,,,
47,Alabama,Marshall County,16,442.5,229.25,,,,,,
48,Alabama,Mobile County,19,503.5,261.25,,,,,,
49,Alabama,Monroe County,19,437.5,228.25,,,,,,
50,Alabama,Montgomery County,19,372.75,195.875,rice,97.0,59.0,43.0,84.0,6.3
51,Alabama,Morgan County,16,431.75,223.875,rice,97.0,59.0,43.0,84.0,6.3
52,Alabama,Perry County,17,362.0,189.5,rice,97.0,59.0,43.0,84.0,6.3
53,Alabama,Pickens County,17,452.75,234.875,,,,,,
54,Alabama,Pike County,18,381.0,199.5,rice,97.0,59.0,43.0,84.0,6.3
55,Alabama,Randolph County,16,369.0,192.5,rice,97.0,59.0,43.0,84.0,6.3
56,Alabama,Russell County,18,373.5,195.75,rice,97.0,59.0,43.0,84.0,6.3
57,Alabama,St. Clair County,17,426.0,221.5,rice,97.0,59.0,43.0,84.0,6.3
58,Alabama,Shelby County,17,435.5,226.25,,,,,,
59,Alabama,Sumter County,18,377.75,197.875,rice,97.0,59.0,43.0,84.0,6.3
60,Alabama,Talladega County,17,382.25,199.625,rice,97.0,59.0,43.0,84.0,6.3
61,Alabama,Tallapoosa County,17,376.5,196.75,rice,97.0,59.0,43.0,84.0,6.3
62,Alabama,Tuscaloosa County,17,426.75,221.875,rice,97.0,59.0,43.0,84.0,6.3
63,Alabama,Walker County,17,443.75,230.375,,,,,,
64,Alabama,Washington County,19,487.75,253.375,,,,,,
65,Alabama,Wilcox County,18,373.5,195.75,rice,97.0,59.0,43.0,84.0,6.3
66,Alabama,Winston County,16,460.5,238.25,,,,,,
67,Arizona,Apache County,11,73.75,42.375,apple,33.0,143.0,204.0,92.0,5.8
68,Arizona,Cochise County,17,91.5,54.25,apple,33.0,143.0,204.0,92.0,5.8
69,Arizona,Coconino County,12,71.75,41.875,apple,33.0,143.0,204.0,92.0,5.8
70,Arizona,Gila County,16,129.0,72.5,apple,33.0,143.0,204.0,92.0,5.8
71,Arizona,Graham County,17,98.5,57.75,apple,33.0,143.0,204.0,92.0,5.8
72,Arizona,Greenlee County,14,100.25,57.125,apple,33.0,143.0,204.0,92.0,5.8
73,Arizona,La Paz County,22,29.25,25.625,apple,33.0,143.0,204.0,92.0,5.8
74,Arizona,Maricopa County,22,57.25,39.625,apple,33.0,143.0,204.0,92.0,5.8
75,Arizona,Mohave County,17,44.5,30.75,apple,33.0,143.0,204.0,92.0,5.8
76,Arizona,Navajo County,12,63.5,37.75,apple,33.0,143.0,204.0,92.0,5.8
77,Arizona,Pima County,20,90.75,55.375,apple,33.0,143.0,204.0,92.0,5.8
78,Arizona,Pinal County,21,80.0,50.5,apple,33.0,143.0,204.0,92.0,5.8
79,Arizona,Santa Cruz County,16,119.5,67.75,apple,33.0,143.0,204.0,92.0,5.8
80,Arizona,Yavapai County,16,82.0,49.0,apple,33.0,143.0,204.0,92.0,5.8
81,Arizona,Yuma County,23,31.75,27.375,apple,33.0,143.0,204.0,92.0,5.8
82,Arkansas,Arkansas County,17,339.75,178.375,coffee,91.0,21.0,26.0,57.4,7.3
83,Arkansas,Ashley County,17,373.5,195.25,rice,97.0,59.0,43.0,84.0,6.3
84,Arkansas,Baxter County,14,290.75,152.375,coconut,40.0,22.0,29.0,100.0,5.7
85,Arkansas,Benton County,14,320.0,167.0,coconut,40.0,22.0,29.0,100.0,5.7
86,Arkansas,Boone County,14,304.25,159.125,coconut,40.0,22.0,29.0,100.0,5.7
