,State,County,Temperature,Precipitation
0,Alabama,Autauga County,65,59.1
1,Alabama,Baldwin County,67,74.8
2,Alabama,Barbour County,65,58.8
3,Alabama,Bibb County,63,63.4
4,Alabama,Blount County,61,71.1
5,Alabama,Bullock County,64,57.8
6,Alabama,Butler County,66,62.4
7,Alabama,Calhoun County,62,56.6
8,Alabama,Chambers County,62,59.0
9,Alabama,Cherokee County,61,66.3
10,Alabama,Chilton County,63,59.8
11,Alabama,Choctaw County,65,69.0
12,Alabama,Clarke County,66,68.7
13,Alabama,Clay County,61,59.5
14,Alabama,Cleburne County,61,58.5
15,Alabama,Coffee County,66,62.5
16,Alabama,Colbert County,61,67.5
17,Alabama,Conecuh County,66,72.0
18,Alabama,Coosa County,63,61.6
19,Alabama,Covington County,66,68.4
20,Alabama,Crenshaw County,65,61.0
21,Alabama,Cullman County,61,71.6
22,Alabama,Dale County,66,62.3
23,Alabama,Dallas County,65,55.7
24,Alabama,DeKalb County,59,71.4
25,Alabama,Elmore County,64,61.0
26,Alabama,Escambia County,67,75.5
27,Alabama,Etowah County,61,66.1
28,Alabama,Fayette County,62,71.4
29,Alabama,Franklin County,60,69.6
30,Alabama,Geneva County,66,68.2
31,Alabama,Greene County,63,63.5
32,Alabama,Hale County,63,59.7
33,Alabama,Henry County,66,63.3
34,Alabama,Houston County,67,68.1
35,Alabama,Jackson County,59,68.2
36,Alabama,Jefferson County,62,68.7
37,Alabama,Lamar County,62,71.0
38,Alabama,Lauderdale County,60,67.8
39,Alabama,Lawrence County,60,67.4
40,Alabama,Lee County,63,62.5
41,Alabama,Limestone County,60,67.2
42,Alabama,Lowndes County,66,57.0
43,Alabama,Macon County,64,59.0
44,Alabama,Madison County,60,68.7
45,Alabama,Marengo County,64,57.0
46,Alabama,Marion County,61,72.8
47,Alabama,Marshall County,61,69.7
48,Alabama,Mobile County,67,79.3
49,Alabama,Monroe County,66,68.9
50,Alabama,Montgomery County,66,58.7
51,Alabama,Morgan County,60,68.0
52,Alabama,Perry County,63,57.0
53,Alabama,Pickens County,63,71.3
54,Alabama,Pike County,65,60.0
55,Alabama,Randolph County,61,58.1
56,Alabama,Russell County,64,58.8
57,Alabama,St. Clair County,62,67.1
58,Alabama,Shelby County,62,68.6
59,Alabama,Sumter County,64,59.5
60,Alabama,Talladega County,62,60.2
61,Alabama,Tallapoosa County,62,59.3
62,Alabama,Tuscaloosa County,63,67.2
63,Alabama,Walker County,62,69.9
64,Alabama,Washington County,66,76.8
65,Alabama,Wilcox County,65,58.8
66,Alabama,Winston County,60,72.5
67,Arizona,Apache County,51,11.6
68,Arizona,Cochise County,62,14.4
69,Arizona,Coconino County,54,11.3
70,Arizona,Gila County,61,20.3
71,Arizona,Graham County,62,15.5
72,Arizona,Greenlee County,57,15.8
73,Arizona,La Paz County,72,4.6
74,Arizona,Maricopa County,71,9.0
75,Arizona,Mohave County,63,7.0
76,Arizona,Navajo County,53,10.0
77,Arizona,Pima County,68,14.3
78,Arizona,Pinal County,69,12.6
79,Arizona,Santa Cruz County,61,18.8
80,Arizona,Yavapai County,60,12.9
81,Arizona,Yuma County,73,5.0
82,Arkansas,Arkansas County,62,53.5
83,Arkansas,Ashley County,63,58.8
84,Arkansas,Baxter County,57,45.8
85,Arkansas,Benton County,58,50.4
86,Arkansas,Boone County,57,47.9
87,Arkansas,Bradley County,63,61.0
88,Arkansas,Calhoun County,63,62.2
89,Arkansas,Carroll County,57,48.9
90,Arkansas,Chicot County,64,63.5
91,Arkansas,Clark County,61,52.7
92,Arkansas,Clay County,59,49.7
93,Arkansas,Cleburne County,59,47.9
94,Arkansas,Cleveland County,62,58.6
95,Arkansas,Columbia County,62,56.3
96,Arkansas,Conway County,60,47.3
97,Arkansas,Craighead County,60,47.3
98,Arkansas,Crawford County,60,49.2
99,Arkansas,Crittenden County,62,52.0
100,Arkansas,Cross County,61,50.0
101,Arkansas,Dallas County,61,55.8
102,Arkansas,Desha County,63,63.0
103,Arkansas,Drew County,63,61.9
104,Arkansas,Faulkner County,60,48.6
105,Arkansas,Franklin County,59,51.1
106,Arkansas,Fulton County,57,46.0
107,Arkansas,Garland County,61,50.0
108,Arkansas,Grant County,61,51.1
109,Arkansas,Greene County,59,48.4
110,Arkansas,Hempstead County,62,54.8
111,Arkansas,Hot Spring County,61,49.2
112,Arkansas,Howard County,61,56.6
113,Arkansas,Independence County,59,45.7
114,Arkansas,Izard County,58,44.5
115,Arkansas,Jackson County,59,47.3
116,Arkansas,Jefferson County,62,52.2
117,Arkansas,Johnson County,59,51.5
118,Arkansas,Lafayette County,63,57.4
119,Arkansas,Lawrence County,59,44.5
120,Arkansas,Lee County,62,59.2
121,Arkansas,Lincoln County,63,61.0
122,Arkansas,Little River County,63,53.8
123,Arkansas,Logan County,60,46.0
124,Arkansas,Lonoke County,61,49.2
125,Arkansas,Madison County,57,49.3
126,Arkansas,Marion County,57,47.6
127,Arkansas,Miller County,63,55.1
128,Arkansas,Mississippi County,61,46.9
129,Arkansas,Monroe County,62,52.8
130,Arkansas,Montgomery County,60,54.6
131,Arkansas,Nevada County,61,53.9
132,Arkansas,Newton County,56,49.3
133,Arkansas,Ouachita County,62,58.9
134,Arkansas,Perry County,61,45.0
135,Arkansas,Phillips County,62,57.0
136,Arkansas,Pike County,61,58.6
137,Arkansas,Poinsett County,60,47.7
138,Arkansas,Polk County,59,56.7
139,Arkansas,Pope County,59,49.2
140,Arkansas,Prairie County,62,48.5
141,Arkansas,Pulaski County,61,48.0
142,Arkansas,Randolph County,59,44.1
143,Arkansas,St. Francis County,61,54.0
144,Arkansas,Saline County,61,49.0
145,Arkansas,Scott County,60,50.0
146,Arkansas,Searcy County,57,49.1
147,Arkansas,Sebastian County,61,52.0
148,Arkansas,Sevier County,62,57.0
149,Arkansas,Sharp County,58,46.7
150,Arkansas,Stone County,58,46.7
151,Arkansas,Union County,63,59.5
152,Arkansas,Van Buren County,58,50.2
153,Arkansas,Washington County,58,47.0
154,Arkansas,White County,60,48.4
155,Arkansas,Woodruff County,61,45.9
156,Arkansas,Yell County,60,44.2
157,California,Alameda County,60,12.6
158,California,Alpine County,46,30.0
159,California,Amador County,60,26.0
160,California,Butte County,61,30.2
161,California,Calaveras County,60,23.6
162,California,Colusa County,64,13.5
163,California,Contra Costa County,61,11.0
164,California,Del Norte County,53,73.0
165,California,El Dorado County,56,34.7
166,California,Fresno County,57,11.2
167,California,Glenn County,62,14.3
168,California,Humboldt County,55,46.9
169,California,Imperial County,75,2.1
170,California,Inyo County,62,3.0
171,California,Kern County,63,4.3
172,California,Kings County,65,4.7
173,California,Lake County,59,28.6
174,California,Lassen County,48,15.6
175,California,Los Angeles County,62,5.6
176,California,Madera County,58,13.2
177,California,Marin County,57,21.2
178,California,Mariposa County,57,18.9
179,California,Mendocino County,57,35.1
180,California,Merced County,62,7.9
181,California,Modoc County,48,13.8
182,California,Mono County,46,12.0
183,California,Monterey County,59,14.1
184,California,Napa County,60,20.3
185,California,Nevada County,54,39.3
186,California,Orange County,64,5.8
187,California,Placer County,55,35.4
188,California,Plumas County,49,31.0
189,California,Riverside County,69,4.0
190,California,Sacramento County,63,12.7
191,California,San Benito County,60,11.1
192,California,San Bernardino County,67,3.0
193,California,San Diego County,63,9.0
194,California,San Francisco County,57,16.3
195,California,San Joaquin County,63,10.6
196,California,San Luis Obispo County,60,11.0
197,California,San Mateo County,57,17.3
198,California,Santa Barbara County,59,10.7
199,California,Santa Clara County,59,15.5
200,California,Santa Cruz County,57,21.7
201,California,Shasta County,57,27.0
202,California,Sierra County,49,35.0
203,California,Siskiyou County,50,28.7
204,California,Solano County,62,12.8
205,California,Sonoma County,58,27.5
206,California,Stanislaus County,62,10.3
207,California,Sutter County,64,12.6
208,California,Tehama County,60,23.6
209,California,Trinity County,54,38.5
210,California,Tulare County,56,10.8
211,California,Tuolumne County,52,29.0
212,California,Ventura County,59,6.7
213,California,Yolo County,63,12.9
214,California,Yuba County,62,27.4
215,Colorado,Adams County,50,15.0
216,Colorado,Alamosa County,44,9.5
217,Colorado,Arapahoe County,50,15.9
218,Colorado,Archuleta County,45,19.9
219,Colorado,Baca County,53,15.3
220,Colorado,Bent County,54,13.7
221,Colorado,Boulder County,45,20.5
222,Colorado,Broomfield County,51,15.9
223,Colorado,Chaffee County,38,17.8
224,Colorado,Cheyenne County,52,14.3
225,Colorado,Clear Creek County,38,25.8
226,Colorado,Conejos County,41,16.3
227,Colorado,Costilla County,43,16.5
228,Colorado,Crowley County,52,13.0
229,Colorado,Custer County,42,19.6
230,Colorado,Delta County,48,16.1
231,Colorado,Denver County,51,14.8
232,Colorado,Dolores County,44,19.7
233,Colorado,Douglas County,47,17.8
234,Colorado,Eagle County,40,20.0
235,Colorado,Elbert County,49,16.6
236,Colorado,El Paso County,48,16.8
237,Colorado,Fremont County,45,14.9
238,Colorado,Garfield County,44,18.3
239,Colorado,Gilpin County,40,23.3
240,Colorado,Grand County,38,19.7
241,Colorado,Gunnison County,39,20.1
242,Colorado,Hinsdale County,37,26.0
243,Colorado,Huerfano County,47,18.2
244,Colorado,Jackson County,37,20.0
245,Colorado,Jefferson County,46,18.4
246,Colorado,Kiowa County,52,15.2
247,Colorado,Kit Carson County,52,15.3
248,Colorado,Lake County,35,22.8
249,Colorado,La Plata County,46,18.7
250,Colorado,Larimer County,43,19.7
251,Colorado,Las Animas County,51,16.1
252,Colorado,Lincoln County,51,13.0
253,Colorado,Logan County,51,14.8
254,Colorado,Mesa County,49,15.1
255,Colorado,Mineral County,38,26.0
256,Colorado,Moffat County,45,12.8
257,Colorado,Montezuma County,49,14.2
258,Colorado,Montrose County,48,13.9
259,Colorado,Morgan County,50,13.1
260,Colorado,Otero County,53,13.3
261,Colorado,Ouray County,42,19.6
262,Colorado,Park County,38,18.3
263,Colorado,Phillips County,51,18.0
264,Colorado,Pitkin County,38,25.6
265,Colorado,Prowers County,54,16.7
266,Colorado,Pueblo County,52,15.5
267,Colorado,Rio Blanco County,45,16.3
268,Colorado,Rio Grande County,41,13.1
269,Colorado,Routt County,41,20.0
270,Colorado,Saguache County,40,15.6
271,Colorado,San Juan County,36,36.1
272,Colorado,San Miguel County,46,16.3
273,Colorado,Sedgwick County,51,17.4
274,Colorado,Summit County,36,23.8
275,Colorado,Teller County,40,20.7
276,Colorado,Washington County,51,15.3
277,Colorado,Weld County,49,13.3
278,Colorado,Yuma County,52,16.3
279,Connecticut,Fairfield County,53,53.1
280,Connecticut,Hartford County,51,60.0
281,Connecticut,Litchfield County,49,59.9
282,Connecticut,Middlesex County,52,56.7
283,Connecticut,New Haven County,51,56.7
284,Connecticut,New London County,52,52.9
285,Connecticut,Tolland County,51,62.1
286,Connecticut,Windham County,51,62.3
287,Delaware,Kent County,57,50.7
288,Delaware,New Castle County,56,49.0
289,Delaware,Sussex County,58,52.5
290,Florida,Alachua County,70,65.7
291,Florida,Baker County,68,60.4
292,Florida,Bay County,69,69.2
293,Florida,Bradford County,69,64.9
294,Florida,Brevard County,73,45.1
295,Florida,Broward County,76,55.2
296,Florida,Calhoun County,68,67.4
297,Florida,Charlotte County,75,51.4
298,Florida,Citrus County,72,63.5
299,Florida,Clay County,70,62.2
300,Florida,Collier County,76,53.8
301,Florida,Columbia County,68,62.0
302,Florida,DeSoto County,74,48.7
303,Florida,Dixie County,69,68.0
304,Florida,Duval County,70,59.2
305,Florida,Escambia County,67,79.6
306,Florida,Flagler County,71,51.1
307,Florida,Franklin County,69,72.1
308,Florida,Gadsden County,67,65.1
309,Florida,Gilchrist County,69,64.9
310,Florida,Glades County,74,46.1
311,Florida,Gulf County,69,71.7
312,Florida,Hamilton County,68,59.0
313,Florida,Hardee County,74,46.1
314,Florida,Hendry County,75,48.0
315,Florida,Hernando County,72,57.8
316,Florida,Highlands County,74,44.5
317,Florida,Hillsborough County,74,52.7
318,Florida,Holmes County,67,70.0
319,Florida,Indian River County,73,45.5
320,Florida,Jackson County,67,68.5
321,Florida,Jefferson County,68,63.3
322,Florida,Lafayette County,69,65.3
323,Florida,Lake County,73,49.1
324,Florida,Lee County,76,51.3
325,Florida,Leon County,68,61.2
326,Florida,Levy County,70,60.1
327,Florida,Liberty County,68,67.3
328,Florida,Madison County,68,62.5
329,Florida,Manatee County,74,50.0
330,Florida,Marion County,71,58.6
331,Florida,Martin County,75,48.8
332,Florida,Miami-Dade County,76,53.3
333,Florida,Monroe County,76,48.0
334,Florida,Nassau County,69,57.5
335,Florida,Okaloosa County,67,76.3
336,Florida,Okeechobee County,74,45.4
337,Florida,Orange County,73,47.0
338,Florida,Osceola County,73,42.6
339,Florida,Palm Beach County,75,50.0
340,Florida,Pasco County,73,54.9
341,Florida,Pinellas County,74,53.0
342,Florida,Polk County,74,44.0
343,Florida,Putnam County,71,60.6
344,Florida,St. Johns County,71,60.6
345,Florida,St. Lucie County,74,48.9
346,Florida,Santa Rosa County,67,79.6
347,Florida,Sarasota County,74,49.5
348,Florida,Seminole County,73,50.1
349,Florida,Sumter County,72,55.8
350,Florida,Suwannee County,68,62.1
351,Florida,Taylor County,69,64.3
352,Florida,Union County,69,64.0
353,Florida,Volusia County,72,50.3
354,Florida,Wakulla County,68,61.5
355,Florida,Walton County,67,74.0
356,Florida,Washington County,68,67.9
357,Georgia,Appling County,66,58.4
358,Georgia,Atkinson County,66,61.0
359,Georgia,Bacon County,66,55.5
360,Georgia,Baker County,66,61.6
361,Georgia,Baldwin County,64,48.6
362,Georgia,Banks County,61,59.0
363,Georgia,Barrow County,61,56.0
364,Georgia,Bartow County,60,56.6
365,Georgia,Ben Hill County,65,60.9
366,Georgia,Berrien County,65,67.6
367,Georgia,Bibb County,64,52.7
368,Georgia,Bleckley County,65,57.9
369,Georgia,Brantley County,67,54.5
370,Georgia,Brooks County,66,69.3
371,Georgia,Bryan County,67,57.0
372,Georgia,Bulloch County,66,57.0
373,Georgia,Burke County,65,48.3
374,Georgia,Butts County,63,47.0
375,Georgia,Calhoun County,66,61.6
376,Georgia,Camden County,68,54.9
377,Georgia,Candler County,66,59.2
378,Georgia,Carroll County,61,64.8
379,Georgia,Catoosa County,60,62.9
380,Georgia,Charlton County,67,56.4
381,Georgia,Chatham County,67,53.4
382,Georgia,Chattahoochee County,64,58.2
383,Georgia,Chattooga County,60,67.0
384,Georgia,Cherokee County,60,57.0
385,Georgia,Clarke County,62,53.1
386,Georgia,Clay County,66,61.6
387,Georgia,Clayton County,62,51.2
388,Georgia,Clinch County,66,58.5
389,Georgia,Cobb County,61,53.0
390,Georgia,Coffee County,65,59.6
391,Georgia,Colquitt County,65,67.4
392,Georgia,Columbia County,64,47.3
393,Georgia,Cook County,65,69.0
394,Georgia,Coweta County,62,53.7
395,Georgia,Crawford County,64,53.8
396,Georgia,Crisp County,65,50.1
397,Georgia,Dade County,59,68.1
398,Georgia,Dawson County,59,63.7
399,Georgia,Decatur County,67,67.9
400,Georgia,DeKalb County,62,52.1
401,Georgia,Dodge County,65,61.8
402,Georgia,Dooly County,65,53.0
403,Georgia,Dougherty County,66,58.1
404,Georgia,Douglas County,61,57.0
405,Georgia,Early County,66,66.4
406,Georgia,Echols County,67,59.2
407,Georgia,Effingham County,66,54.7
408,Georgia,Elbert County,62,52.0
409,Georgia,Emanuel County,65,56.3
410,Georgia,Evans County,66,59.6
411,Georgia,Fannin County,56,69.0
412,Georgia,Fayette County,62,50.1
413,Georgia,Floyd County,60,61.0
414,Georgia,Forsyth County,60,56.8
415,Georgia,Franklin County,61,51.5
416,Georgia,Fulton County,62,52.9
417,Georgia,Gilmer County,57,70.7
418,Georgia,Glascock County,63,50.0
419,Georgia,Glynn County,68,52.3
420,Georgia,Gordon County,60,63.2
421,Georgia,Grady County,67,69.3
422,Georgia,Greene County,63,48.9
423,Georgia,Gwinnett County,61,54.6
424,Georgia,Habersham County,59,69.4
425,Georgia,Hall County,60,61.2
426,Georgia,Hancock County,63,48.5
427,Georgia,Haralson County,60,63.3
428,Georgia,Harris County,62,58.7
429,Georgia,Hart County,61,50.3
430,Georgia,Heard County,62,58.9
431,Georgia,Henry County,63,49.9
432,Georgia,Houston County,65,54.8
433,Georgia,Irwin County,65,63.0
434,Georgia,Jackson County,61,56.2
435,Georgia,Jasper County,63,46.2
436,Georgia,Jeff Davis County,65,59.9
437,Georgia,Jefferson County,64,50.0
438,Georgia,Jenkins County,65,51.7
439,Georgia,Johnson County,64,53.6
440,Georgia,Jones County,64,49.4
441,Georgia,Lamar County,63,49.6
442,Georgia,Lanier County,66,66.6
443,Georgia,Laurens County,65,60.8
444,Georgia,Lee County,66,55.0
445,Georgia,Liberty County,67,58.8
446,Georgia,Lincoln County,63,49.1
447,Georgia,Long County,67,59.5
448,Georgia,Lowndes County,66,66.9
449,Georgia,Lumpkin County,58,69.1
450,Georgia,McDuffie County,63,48.9
451,Georgia,McIntosh County,67,54.6
452,Georgia,Macon County,65,54.6
453,Georgia,Madison County,61,53.3
454,Georgia,Marion County,64,58.9
455,Georgia,Meriwether County,62,52.5
456,Georgia,Miller County,67,67.0
457,Georgia,Mitchell County,66,62.0
458,Georgia,Monroe County,63,49.8
459,Georgia,Montgomery County,65,65.9
460,Georgia,Morgan County,63,48.6
461,Georgia,Murray County,59,70.5
462,Georgia,Muscogee County,64,58.5
463,Georgia,Newton County,63,48.6
464,Georgia,Oconee County,63,53.0
465,Georgia,Oglethorpe County,62,50.7
466,Georgia,Paulding County,61,55.0
467,Georgia,Peach County,64,54.2
468,Georgia,Pickens County,58,63.1
469,Georgia,Pierce County,66,55.1
470,Georgia,Pike County,63,49.3
471,Georgia,Polk County,60,57.5
472,Georgia,Pulaski County,65,57.6
473,Georgia,Putnam County,64,45.4
474,Georgia,Quitman County,65,59.0
475,Georgia,Rabun County,57,73.5
476,Georgia,Randolph County,65,60.9
477,Georgia,Richmond County,65,48.8
478,Georgia,Rockdale County,62,50.8
479,Georgia,Schley County,64,58.4
